MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201806,CLIENTES GRANDES,A11,94
201806,CLIENTES GRANDES,A12,95
201806,CLIENTES GRANDES,A13,95
201806,CLIENTES GRANDES,A14,99
201806,CLIENTES GRANDES,A15,93
201806,CLIENTES GRANDES,A16,87
201806,CLIENTES GRANDES,A17,74
201806,CLIENTES GRANDES,A18,94
201806,CLIENTES GRANDES,A19,100
201806,CLIENTES GRANDES,A20,100
201806,CLIENTES GRANDES,A21,95
201806,CLIENTES GRANDES,A22,87
201806,CLIENTES GRANDES,A23,100
201806,CLIENTES GRANDES,A24,93
201806,CLIENTES PEQUEÑOS,A1,48
201806,CLIENTES PEQUEÑOS,A2,29
201806,CLIENTES PEQUEÑOS,A3,22
201806,CLIENTES PEQUEÑOS,A4,71
201806,CLIENTES PEQUEÑOS,A5,34
201806,CLIENTES PEQUEÑOS,A6,6
201806,CLIENTES PEQUEÑOS,A7,3
201806,CLIENTES PEQUEÑOS,A8,26
201806,CLIENTES PEQUEÑOS,A9,29
201806,CLIENTES PEQUEÑOS,A10,30
201806,CLIENTES PEQUEÑOS,A11,38
201806,CLIENTES PEQUEÑOS,A14,42
201806,CLIENTES PEQUEÑOS,A15,7
201806,CLIENTES PEQUEÑOS,A16,4
201806,CLIENTES PEQUEÑOS,A17,11
201806,CLIENTES PEQUEÑOS,A18,80
201806,CLIENTES PEQUEÑOS,A19,68
201806,CLIENTES PEQUEÑOS,A20,62
201806,CLIENTES PEQUEÑOS,A21,66
201806,CLIENTES PEQUEÑOS,A22,39
201806,CLIENTES PEQUEÑOS,A23,70
201807,CLIENTES GRANDES,A1,94
201807,CLIENTES GRANDES,A2,100
201807,CLIENTES GRANDES,A3,87
201807,CLIENTES GRANDES,A4,100
201807,CLIENTES GRANDES,A5,94
201807,CLIENTES GRANDES,A6,87
201807,CLIENTES GRANDES,A7,89
201807,CLIENTES GRANDES,A8,99
201807,CLIENTES GRANDES,A9,91
201807,CLIENTES GRANDES,A10,92
201807,CLIENTES GRANDES,A11,94
201807,CLIENTES GRANDES,A12,95
201807,CLIENTES GRANDES,A13,95
201807,CLIENTES GRANDES,A14,99
201807,CLIENTES GRANDES,A15,93
201807,CLIENTES GRANDES,A16,87
201807,CLIENTES GRANDES,A17,68
201807,CLIENTES GRANDES,A18,94
201807,CLIENTES GRANDES,A19,100
201807,CLIENTES GRANDES,A20,100
201807,CLIENTES GRANDES,A21,95
201807,CLIENTES GRANDES,A22,87
201807,CLIENTES GRANDES,A23,100
201807,CLIENTES GRANDES,A24,93
201807,CLIENTES PEQUEÑOS,A1,48
201807,CLIENTES PEQUEÑOS,A2,27
201807,CLIENTES PEQUEÑOS,A3,23
201807,CLIENTES PEQUEÑOS,A4,71
201807,CLIENTES PEQUEÑOS,A5,32
201807,CLIENTES PEQUEÑOS,A6,5
201807,CLIENTES PEQUEÑOS,A7,5
201807,CLIENTES PEQUEÑOS,A8,24
201807,CLIENTES PEQUEÑOS,A9,30
201807,CLIENTES PEQUEÑOS,A10,30
201807,CLIENTES PEQUEÑOS,A11,38
201807,CLIENTES PEQUEÑOS,A14,41
201807,CLIENTES PEQUEÑOS,A15,7
201807,CLIENTES PEQUEÑOS,A16,4
201807,CLIENTES PEQUEÑOS,A17,12
201807,CLIENTES PEQUEÑOS,A18,81
201807,CLIENTES PEQUEÑOS,A19,69
201807,CLIENTES PEQUEÑOS,A20,63
201807,CLIENTES PEQUEÑOS,A21,67
201807,CLIENTES PEQUEÑOS,A22,39
201807,CLIENTES PEQUEÑOS,A23,70
201808,CLIENTES GRANDES,A1,94
201808,CLIENTES GRANDES,A2,100
201808,CLIENTES GRANDES,A3,87
201808,CLIENTES GRANDES,A4,100
201808,CLIENTES GRANDES,A5,94
201808,CLIENTES GRANDES,A6,87
201808,CLIENTES GRANDES,A7,89
201808,CLIENTES GRANDES,A8,99
201808,CLIENTES GRANDES,A9,91
201808,CLIENTES GRANDES,A10,93
201808,CLIENTES GRANDES,A11,93
201808,CLIENTES GRANDES,A12,95
201808,CLIENTES GRANDES,A13,94
201808,CLIENTES GRANDES,A14,99
201808,CLIENTES GRANDES,A15,93
201808,CLIENTES GRANDES,A16,87
201808,CLIENTES GRANDES,A17,79
201808,CLIENTES GRANDES,A18,94
201808,CLIENTES GRANDES,A19,100
201808,CLIENTES GRANDES,A20,100
201808,CLIENTES GRANDES,A21,95
201808,CLIENTES GRANDES,A22,89
201808,CLIENTES GRANDES,A23,100
201808,CLIENTES GRANDES,A24,91
201808,CLIENTES PEQUEÑOS,A1,47
201808,CLIENTES PEQUEÑOS,A2,26
201808,CLIENTES PEQUEÑOS,A3,21
201808,CLIENTES PEQUEÑOS,A4,70
201808,CLIENTES PEQUEÑOS,A5,32
201808,CLIENTES PEQUEÑOS,A6,4
201808,CLIENTES PEQUEÑOS,A7,5
201808,CLIENTES PEQUEÑOS,A8,23
201808,CLIENTES PEQUEÑOS,A9,29
201808,CLIENTES PEQUEÑOS,A10,29
201808,CLIENTES PEQUEÑOS,A11,37
201808,CLIENTES PEQUEÑOS,A14,42
201808,CLIENTES PEQUEÑOS,A15,6
