MES/AÑO,TIPO CLIENTES,PRODUCTO,INVERSION
201805,CLIENTES PEQUEÑOS,A9,0.2172
201805,CLIENTES PEQUEÑOS,A10,0.2781
201805,CLIENTES PEQUEÑOS,A11,0.4164
201805,CLIENTES PEQUEÑOS,A14,0.4241
201805,CLIENTES PEQUEÑOS,A15,0.3864
201805,CLIENTES PEQUEÑOS,A16,0.346
201805,CLIENTES PEQUEÑOS,A17,0.3115
201805,CLIENTES PEQUEÑOS,A18,0.1982
201805,CLIENTES PEQUEÑOS,A19,0.32
201805,CLIENTES PEQUEÑOS,A20,0.2513
201805,CLIENTES PEQUEÑOS,A21,0.2654
201805,CLIENTES PEQUEÑOS,A22,0.2687
201805,CLIENTES PEQUEÑOS,A23,0.3091
201806,CLIENTES GRANDES,A1,0.3531
201806,CLIENTES GRANDES,A2,0.2212
201806,CLIENTES GRANDES,A3,0.2341
201806,CLIENTES GRANDES,A4,0.3161
201806,CLIENTES GRANDES,A5,0.256
201806,CLIENTES GRANDES,A6,0.2733
201806,CLIENTES GRANDES,A7,0.3958
201806,CLIENTES GRANDES,A8,0.2231
201806,CLIENTES GRANDES,A9,0.222
201806,CLIENTES GRANDES,A10,0.3019
201806,CLIENTES GRANDES,A11,0.2376
201806,CLIENTES GRANDES,A12,0.1949
201806,CLIENTES GRANDES,A13,0.2112
201806,CLIENTES GRANDES,A14,0.3325
201806,CLIENTES GRANDES,A15,0.3423
201806,CLIENTES GRANDES,A16,0.2963
201806,CLIENTES GRANDES,A17,0.3994
201806,CLIENTES GRANDES,A18,0.2027
201806,CLIENTES GRANDES,A19,0.2249
201806,CLIENTES GRANDES,A20,0.2262
201806,CLIENTES GRANDES,A21,0.2501
201806,CLIENTES GRANDES,A22,0.288
201806,CLIENTES GRANDES,A23,0.3361
201806,CLIENTES GRANDES,A24,0.3271
201806,CLIENTES PEQUEÑOS,A1,0.3531
201806,CLIENTES PEQUEÑOS,A2,0.2212
201806,CLIENTES PEQUEÑOS,A3,0.2341
201806,CLIENTES PEQUEÑOS,A4,0.3161
201806,CLIENTES PEQUEÑOS,A5,0.256
201806,CLIENTES PEQUEÑOS,A6,0.2733
201806,CLIENTES PEQUEÑOS,A7,0.3958
201806,CLIENTES PEQUEÑOS,A8,0.2231
201806,CLIENTES PEQUEÑOS,A9,0.222
201806,CLIENTES PEQUEÑOS,A10,0.3019
201806,CLIENTES PEQUEÑOS,A11,0.2376
201806,CLIENTES PEQUEÑOS,A14,0.3325
201806,CLIENTES PEQUEÑOS,A15,0.3423
201806,CLIENTES PEQUEÑOS,A16,0.2963
201806,CLIENTES PEQUEÑOS,A17,0.3994
201806,CLIENTES PEQUEÑOS,A18,0.2027
201806,CLIENTES PEQUEÑOS,A19,0.2249
201806,CLIENTES PEQUEÑOS,A20,0.2262
201806,CLIENTES PEQUEÑOS,A21,0.2501
201806,CLIENTES PEQUEÑOS,A22,0.288
201806,CLIENTES PEQUEÑOS,A23,0.3361
201807,CLIENTES GRANDES,A1,0.4257
201807,CLIENTES GRANDES,A2,0.2916
201807,CLIENTES GRANDES,A3,0.2855
201807,CLIENTES GRANDES,A4,0.3238
201807,CLIENTES GRANDES,A5,0.2461
201807,CLIENTES GRANDES,A6,0.199
201807,CLIENTES GRANDES,A7,0.2406
201807,CLIENTES GRANDES,A8,0.3504
201807,CLIENTES GRANDES,A9,0.1819
201807,CLIENTES GRANDES,A10,0.3112
201807,CLIENTES GRANDES,A11,0.2973
201807,CLIENTES GRANDES,A12,0.2016
201807,CLIENTES GRANDES,A13,0.2031
201807,CLIENTES GRANDES,A14,0.2407
201807,CLIENTES GRANDES,A15,0.4756
201807,CLIENTES GRANDES,A16,0.3098
201807,CLIENTES GRANDES,A17,0.2546
201807,CLIENTES GRANDES,A18,0.1947
201807,CLIENTES GRANDES,A19,0.2381
201807,CLIENTES GRANDES,A20,0.2417
201807,CLIENTES GRANDES,A21,0.2416
201807,CLIENTES GRANDES,A22,0.2248
201807,CLIENTES GRANDES,A23,0.3501
201807,CLIENTES GRANDES,A24,0.4081
201807,CLIENTES PEQUEÑOS,A1,0.4257
201807,CLIENTES PEQUEÑOS,A2,0.2916
201807,CLIENTES PEQUEÑOS,A3,0.2855
201807,CLIENTES PEQUEÑOS,A4,0.3238
201807,CLIENTES PEQUEÑOS,A5,0.2461
201807,CLIENTES PEQUEÑOS,A6,0.199
201807,CLIENTES PEQUEÑOS,A7,0.2406
201807,CLIENTES PEQUEÑOS,A8,0.3504
201807,CLIENTES PEQUEÑOS,A9,0.1819
201807,CLIENTES PEQUEÑOS,A10,0.3112
201807,CLIENTES PEQUEÑOS,A11,0.2973
201807,CLIENTES PEQUEÑOS,A14,0.2407
201807,CLIENTES PEQUEÑOS,A15,0.4756
201807,CLIENTES PEQUEÑOS,A16,0.3098
201807,CLIENTES PEQUEÑOS,A17,0.2546
201807,CLIENTES PEQUEÑOS,A18,0.1947
201807,CLIENTES PEQUEÑOS,A19,0.2381
201807,CLIENTES PEQUEÑOS,A20,0.2417
201807,CLIENTES PEQUEÑOS,A21,0.2416
201807,CLIENTES PEQUEÑOS,A22,0.2248
201807,CLIENTES PEQUEÑOS,A23,0.3501
201808,CLIENTES GRANDES,A1,0.3435
201808,CLIENTES GRANDES,A2,0.2681
201808,CLIENTES GRANDES,A3,0.28
201808,CLIENTES GRANDES,A4,0.323
201808,CLIENTES GRANDES,A5,0.2461
201808,CLIENTES GRANDES,A6,0.2076
201808,CLIENTES GRANDES,A7,0.2328
201808,CLIENTES GRANDES,A8,0.3112
201808,CLIENTES GRANDES,A9,0.174
201808,CLIENTES GRANDES,A10,0.2981
201808,CLIENTES GRANDES,A11,0.2632
201808,CLIENTES GRANDES,A12,0.1971
201808,CLIENTES GRANDES,A13,0.194
201808,CLIENTES GRANDES,A14,0.6494
201808,CLIENTES GRANDES,A15,0.3393
201808,CLIENTES GRANDES,A16,0.2595
201808,CLIENTES GRANDES,A17,0.2408
201808,CLIENTES GRANDES,A18,0.1685
201808,CLIENTES GRANDES,A19,0.4262
201808,CLIENTES GRANDES,A20,0.2483
201808,CLIENTES GRANDES,A21,0.2285
201808,CLIENTES GRANDES,A22,0.2122
201808,CLIENTES GRANDES,A23,0.3141
201808,CLIENTES GRANDES,A24,0.3667
201808,CLIENTES PEQUEÑOS,A1,0.3435
201808,CLIENTES PEQUEÑOS,A2,0.2681
201808,CLIENTES PEQUEÑOS,A3,0.28
201808,CLIENTES PEQUEÑOS,A4,0.323
201808,CLIENTES PEQUEÑOS,A5,0.2461
201808,CLIENTES PEQUEÑOS,A6,0.2076
201808,CLIENTES PEQUEÑOS,A7,0.2328
201808,CLIENTES PEQUEÑOS,A8,0.3112
201808,CLIENTES PEQUEÑOS,A9,0.174
201808,CLIENTES PEQUEÑOS,A10,0.2981
201808,CLIENTES PEQUEÑOS,A11,0.2632
201808,CLIENTES PEQUEÑOS,A14,0.6494
201808,CLIENTES PEQUEÑOS,A15,0.3393
201808,CLIENTES PEQUEÑOS,A16,0.2595
201808,CLIENTES PEQUEÑOS,A17,0.2408
201808,CLIENTES PEQUEÑOS,A18,0.1685
201808,CLIENTES PEQUEÑOS,A19,0.4262
201808,CLIENTES PEQUEÑOS,A20,0.2483
201808,CLIENTES PEQUEÑOS,A21,0.2285
201808,CLIENTES PEQUEÑOS,A22,0.2122
201808,CLIENTES PEQUEÑOS,A23,0.3141
201809,CLIENTES GRANDES,A1,0.3395
201809,CLIENTES GRANDES,A2,0.2497
201809,CLIENTES GRANDES,A3,0.2375
201809,CLIENTES GRANDES,A4,0.2856
201809,CLIENTES GRANDES,A5,0.27
201809,CLIENTES GRANDES,A6,0.2072
201809,CLIENTES GRANDES,A7,0.2158
201809,CLIENTES GRANDES,A8,0.3657
201809,CLIENTES GRANDES,A9,0.1776
201809,CLIENTES GRANDES,A10,0.2617
201809,CLIENTES GRANDES,A11,0.2793
201809,CLIENTES GRANDES,A12,0.1943
201809,CLIENTES GRANDES,A13,0.1916
201809,CLIENTES GRANDES,A14,0.0357
201809,CLIENTES GRANDES,A15,0.3787
201809,CLIENTES GRANDES,A16,0.2898
201809,CLIENTES GRANDES,A17,0.267
201809,CLIENTES GRANDES,A18,0.1729
201809,CLIENTES GRANDES,A19,0.1438
201809,CLIENTES GRANDES,A20,0.2319
201809,CLIENTES GRANDES,A21,0.2042
201809,CLIENTES GRANDES,A22,0.2114
201809,CLIENTES GRANDES,A23,0.2948
201809,CLIENTES GRANDES,A24,0.332
201809,CLIENTES PEQUEÑOS,A1,0.3395
201809,CLIENTES PEQUEÑOS,A2,0.2497
201809,CLIENTES PEQUEÑOS,A3,0.2375
