MES/AÑO,TIPO CLIENTES,PRODUCTO,VENTAS (TON)
201804,CLIENTES PEQUEÑOS,A23,82.274364
201805,CLIENTES GRANDES,A1,12.8166
201805,CLIENTES GRANDES,A2,50.492435
201805,CLIENTES GRANDES,A3,2.99725
201805,CLIENTES GRANDES,A4,32.327424
201805,CLIENTES GRANDES,A5,30.890184
201805,CLIENTES GRANDES,A6,8.03582
201805,CLIENTES GRANDES,A7,8.515988
201805,CLIENTES GRANDES,A8,20.990592
201805,CLIENTES GRANDES,A9,12.47083
201805,CLIENTES GRANDES,A10,10.700718
201805,CLIENTES GRANDES,A11,10.007712
201805,CLIENTES GRANDES,A12,7.832052
201805,CLIENTES GRANDES,A13,12.414135
201805,CLIENTES GRANDES,A14,13.756254
201805,CLIENTES GRANDES,A15,9.358998
201805,CLIENTES GRANDES,A16,2.706956
201805,CLIENTES GRANDES,A17,7.90705
201805,CLIENTES GRANDES,A18,15.638001
201805,CLIENTES GRANDES,A19,32.98033
201805,CLIENTES GRANDES,A20,41.058937
201805,CLIENTES GRANDES,A21,91.549794
201805,CLIENTES GRANDES,A22,10.04725
201805,CLIENTES GRANDES,A23,64.65312
201805,CLIENTES GRANDES,A24,13.80132
201805,CLIENTES PEQUEÑOS,A1,36.9488
201805,CLIENTES PEQUEÑOS,A2,35.245665
201805,CLIENTES PEQUEÑOS,A3,18.48785
201805,CLIENTES PEQUEÑOS,A4,114.450534
201805,CLIENTES PEQUEÑOS,A5,28.153528
201805,CLIENTES PEQUEÑOS,A6,2.518126
201805,CLIENTES PEQUEÑOS,A7,2.399566
201805,CLIENTES PEQUEÑOS,A8,16.21365
201805,CLIENTES PEQUEÑOS,A9,118.159922
201805,CLIENTES PEQUEÑOS,A10,24.773322
201805,CLIENTES PEQUEÑOS,A11,2.159928
201805,CLIENTES PEQUEÑOS,A14,5.592565
201805,CLIENTES PEQUEÑOS,A15,4.085532
201805,CLIENTES PEQUEÑOS,A16,2.159528
201805,CLIENTES PEQUEÑOS,A17,5.75595
201805,CLIENTES PEQUEÑOS,A18,352.347305
201805,CLIENTES PEQUEÑOS,A19,40.471337
201805,CLIENTES PEQUEÑOS,A20,83.14196
201805,CLIENTES PEQUEÑOS,A21,133.018166
201805,CLIENTES PEQUEÑOS,A22,28.5264
201805,CLIENTES PEQUEÑOS,A23,89.330832
201806,CLIENTES GRANDES,A1,18.521
201806,CLIENTES GRANDES,A2,57.205395
201806,CLIENTES GRANDES,A3,3.67905
201806,CLIENTES GRANDES,A4,46.84932
201806,CLIENTES GRANDES,A5,19.548672
201806,CLIENTES GRANDES,A6,3.423992
201806,CLIENTES GRANDES,A7,3.38936
201806,CLIENTES GRANDES,A8,25.746596
201806,CLIENTES GRANDES,A9,10.185465
201806,CLIENTES GRANDES,A10,10.732974
201806,CLIENTES GRANDES,A11,21.827232
201806,CLIENTES GRANDES,A12,4.20093
201806,CLIENTES GRANDES,A13,5.951848
201806,CLIENTES GRANDES,A14,17.737416
201806,CLIENTES GRANDES,A15,9.408894
201806,CLIENTES GRANDES,A16,3.76068
201806,CLIENTES GRANDES,A17,6.2808
201806,CLIENTES GRANDES,A18,20.393259
201806,CLIENTES GRANDES,A19,43.934043
201806,CLIENTES GRANDES,A20,64.894041
201806,CLIENTES GRANDES,A21,81.50225
201806,CLIENTES GRANDES,A22,10.04745
201806,CLIENTES GRANDES,A23,68.73534
201806,CLIENTES GRANDES,A24,11.533392
201806,CLIENTES PEQUEÑOS,A1,38.4374
201806,CLIENTES PEQUEÑOS,A2,67.010265
201806,CLIENTES PEQUEÑOS,A3,30.28665
201806,CLIENTES PEQUEÑOS,A4,68.129088
201806,CLIENTES PEQUEÑOS,A5,23.098686
201806,CLIENTES PEQUEÑOS,A6,4.216966
201806,CLIENTES PEQUEÑOS,A7,2.03112
201806,CLIENTES PEQUEÑOS,A8,18.692048
201806,CLIENTES PEQUEÑOS,A9,106.879227
201806,CLIENTES PEQUEÑOS,A10,23.998842
201806,CLIENTES PEQUEÑOS,A11,5.799384
201806,CLIENTES PEQUEÑOS,A14,6.807678
201806,CLIENTES PEQUEÑOS,A15,4.540932
201806,CLIENTES PEQUEÑOS,A16,2.387588
201806,CLIENTES PEQUEÑOS,A17,3.90375
201806,CLIENTES PEQUEÑOS,A18,350.818298
201806,CLIENTES PEQUEÑOS,A19,111.310644
201806,CLIENTES PEQUEÑOS,A20,47.641089
201806,CLIENTES PEQUEÑOS,A21,91.545
201806,CLIENTES PEQUEÑOS,A22,40.54885
201806,CLIENTES PEQUEÑOS,A23,78.716808
201807,CLIENTES GRANDES,A1,11.41128
201807,CLIENTES GRANDES,A2,43.88904
201807,CLIENTES GRANDES,A3,2.6832
201807,CLIENTES GRANDES,A4,48.411576
201807,CLIENTES GRANDES,A5,22.638694
201807,CLIENTES GRANDES,A6,5.44128
201807,CLIENTES GRANDES,A7,5.586048
201807,CLIENTES GRANDES,A8,21.137348
201807,CLIENTES GRANDES,A9,12.559625
201807,CLIENTES GRANDES,A10,11.499264
201807,CLIENTES GRANDES,A11,16.40574
201807,CLIENTES GRANDES,A12,5.46264
201807,CLIENTES GRANDES,A13,6.97176
201807,CLIENTES GRANDES,A14,42.044184
201807,CLIENTES GRANDES,A15,5.032368
201807,CLIENTES GRANDES,A16,2.63088
201807,CLIENTES GRANDES,A17,6.02815
201807,CLIENTES GRANDES,A18,14.274752
201807,CLIENTES GRANDES,A19,68.40733
201807,CLIENTES GRANDES,A20,67.015584
201807,CLIENTES GRANDES,A21,87.959088
201807,CLIENTES GRANDES,A22,9.617
201807,CLIENTES GRANDES,A23,83.64384
201807,CLIENTES GRANDES,A24,10.257408
201807,CLIENTES PEQUEÑOS,A1,27.32848
201807,CLIENTES PEQUEÑOS,A2,36.95931
201807,CLIENTES PEQUEÑOS,A3,23.3644
201807,CLIENTES PEQUEÑOS,A4,139.980831
201807,CLIENTES PEQUEÑOS,A5,20.572864
201807,CLIENTES PEQUEÑOS,A6,3.075436
201807,CLIENTES PEQUEÑOS,A7,1.85406
201807,CLIENTES PEQUEÑOS,A8,19.889238
201807,CLIENTES PEQUEÑOS,A9,88.984671
201807,CLIENTES PEQUEÑOS,A10,26.571846
201807,CLIENTES PEQUEÑOS,A11,3.29877
201807,CLIENTES PEQUEÑOS,A14,5.763386
201807,CLIENTES PEQUEÑOS,A15,1.037883
201807,CLIENTES PEQUEÑOS,A16,0.98
201807,CLIENTES PEQUEÑOS,A17,6.6297
201807,CLIENTES PEQUEÑOS,A18,281.954559
201807,CLIENTES PEQUEÑOS,A19,77.846897
201807,CLIENTES PEQUEÑOS,A20,83.197793
201807,CLIENTES PEQUEÑOS,A21,123.648344
201807,CLIENTES PEQUEÑOS,A22,38.4471
201807,CLIENTES PEQUEÑOS,A23,93.284604
201808,CLIENTES GRANDES,A1,15.91088
201808,CLIENTES GRANDES,A2,53.23302
201808,CLIENTES GRANDES,A3,3.47475
201808,CLIENTES GRANDES,A4,66.431088
201808,CLIENTES GRANDES,A5,19.603454
201808,CLIENTES GRANDES,A6,4.132934
201808,CLIENTES GRANDES,A7,4.562038
201808,CLIENTES GRANDES,A8,26.799196
201808,CLIENTES GRANDES,A9,14.847085
201808,CLIENTES GRANDES,A10,12.436452
201808,CLIENTES GRANDES,A11,18.782928
201808,CLIENTES GRANDES,A12,3.821562
201808,CLIENTES GRANDES,A13,7.188397
201808,CLIENTES GRANDES,A14,11.396592
201808,CLIENTES GRANDES,A15,16.002657
201808,CLIENTES GRANDES,A16,3.654952
201808,CLIENTES GRANDES,A17,6.7326
201808,CLIENTES GRANDES,A18,26.75913
201808,CLIENTES GRANDES,A19,17.351892
201808,CLIENTES GRANDES,A20,64.534993
201808,CLIENTES GRANDES,A21,96.411454
201808,CLIENTES GRANDES,A22,10.57425
201808,CLIENTES GRANDES,A23,76.704912
201808,CLIENTES GRANDES,A24,10.044648
201808,CLIENTES PEQUEÑOS,A1,51.66288
201808,CLIENTES PEQUEÑOS,A2,49.1859
201808,CLIENTES PEQUEÑOS,A3,24.8345
201808,CLIENTES PEQUEÑOS,A4,157.46103
201808,CLIENTES PEQUEÑOS,A5,24.680526
201808,CLIENTES PEQUEÑOS,A6,4.927494
201808,CLIENTES PEQUEÑOS,A7,3.212092
201808,CLIENTES PEQUEÑOS,A8,31.904952
201808,CLIENTES PEQUEÑOS,A9,147.686225
201808,CLIENTES PEQUEÑOS,A10,30.89856
201808,CLIENTES PEQUEÑOS,A11,6.177888
201808,CLIENTES PEQUEÑOS,A14,10.872514
201808,CLIENTES PEQUEÑOS,A15,6.047151
201808,CLIENTES PEQUEÑOS,A16,3.134432
201808,CLIENTES PEQUEÑOS,A17,11.11675
201808,CLIENTES PEQUEÑOS,A18,527.019186
201808,CLIENTES PEQUEÑOS,A19,86.566529
201808,CLIENTES PEQUEÑOS,A20,78.641317
201808,CLIENTES PEQUEÑOS,A21,131.999968
201808,CLIENTES PEQUEÑOS,A22,60.0566
201808,CLIENTES PEQUEÑOS,A23,91.240344
201809,CLIENTES GRANDES,A1,16.3296
201809,CLIENTES GRANDES,A2,67.9752
201809,CLIENTES GRANDES,A3,2.7984
201809,CLIENTES GRANDES,A4,65.684736
201809,CLIENTES GRANDES,A5,30.046848
201809,CLIENTES GRANDES,A6,4.562688
201809,CLIENTES GRANDES,A7,4.632576
201809,CLIENTES GRANDES,A8,24.840144
201809,CLIENTES GRANDES,A9,12.66612
201809,CLIENTES GRANDES,A10,14.0595
201809,CLIENTES GRANDES,A11,17.740944
201809,CLIENTES GRANDES,A12,4.17312
201809,CLIENTES GRANDES,A13,8.61534
201809,CLIENTES GRANDES,A14,26.593704
201809,CLIENTES GRANDES,A15,10.285704
201809,CLIENTES GRANDES,A16,2.848608
201809,CLIENTES GRANDES,A17,7.6599
201809,CLIENTES GRANDES,A18,13.673226
201809,CLIENTES GRANDES,A19,49.8417
201809,CLIENTES GRANDES,A20,67.617648
